Blood group antigen proteins	CD markers	Cancer-related genes	Candidate cardiovascular disease genes	Citric acid cycle related proteins	Disease related genes	Enzymes	FDA approved drug targets	G-protein coupled receptors	Nuclear receptors	Plasma proteins	Potential drug targets	Predicted intracellular proteins	Predicted membrane proteins	Predicted secreted proteins	RAS pathway related proteins	RNA polymerase related proteins	Ribosomal proteins	Transcription factors	Transporters	Voltage-gated ion channels
1	7	39	6	0	87	79	16	31	2	80	25	369	139	76	8	1	7	52	32	1
0	9	30	4	0	83	87	17	20	2	88	31	378	129	69	3	1	5	38	32	1
0	5	40	4	1	91	87	20	20	3	85	30	355	154	75	5	1	6	44	38	8
2	19	38	1	1	91	70	17	16	0	75	22	383	121	67	6	1	5	40	20	4
1	11	44	4	0	88	95	20	20	0	95	31	381	128	73	10	1	3	36	27	2
1	10	43	6	0	94	87	18	19	0	99	31	359	140	86	10	1	2	35	34	5
0	4	43	5	1	101	84	18	23	2	106	30	380	140	74	3	0	4	35	31	5
0	12	47	1	0	102	94	23	15	1	95	41	380	129	68	3	0	6	35	26	3
0	7	48	3	2	89	77	18	24	1	94	24	372	142	64	7	1	4	37	28	1
1	12	42	6	0	110	85	18	8	1	96	39	386	142	87	5	3	4	30	36	5
2	12	40	11	3	94	81	23	23	1	99	29	368	143	67	7	0	6	35	47	3
0	6	27	4	0	96	106	12	11	0	121	36	386	120	61	4	2	7	30	25	3
1	9	48	6	1	107	89	22	12	1	97	31	387	123	83	3	1	4	39	22	3
3	11	41	5	0	95	81	22	6	1	92	30	361	144	88	8	1	6	41	33	1
1	7	48	3	0	93	98	15	16	0	100	31	371	145	79	7	1	7	34	44	5
0	9	49	3	0	101	94	19	15	2	96	32	371	149	71	3	2	1	34	29	3
0	6	42	3	0	91	87	18	12	2	100	27	387	123	65	12	0	2	46	29	2
0	4	45	4	0	95	88	20	23	3	92	31	367	135	54	7	1	7	47	30	7
0	17	37	6	0	99	93	17	22	0	89	33	345	155	76	4	0	2	39	44	7
3	9	54	4	0	100	78	18	26	0	95	29	350	154	63	4	1	4	35	32	4
0	7	59	6	0	98	83	16	17	4	106	27	372	138	73	9	1	5	48	32	1
1	6	47	4	1	104	97	15	20	1	98	43	390	131	75	8	0	6	36	28	5
0	7	46	6	1	94	81	9	17	1	85	39	375	122	78	5	3	4	34	40	2
2	13	47	1	1	88	93	18	12	1	95	34	388	126	67	6	0	7	43	34	1
2	13	40	7	2	101	76	10	22	1	89	27	353	156	72	3	0	7	30	36	1
1	6	36	3	1	95	88	19	19	0	91	36	374	123	70	5	1	2	31	30	3
1	4	35	4	1	84	100	18	16	1	92	40	370	132	66	5	1	0	37	45	3
2	6	43	3	0	92	87	12	28	0	106	29	349	161	79	6	0	6	38	44	1
0	16	44	5	1	80	83	19	15	3	106	29	373	143	71	8	0	4	45	29	3
1	5	36	3	0	86	87	12	29	1	82	24	362	143	68	4	0	3	31	29	4
2	14	44	5	1	123	98	19	22	2	105	43	371	141	73	4	0	5	43	30	5
1	9	54	5	0	94	87	14	12	0	88	33	366	147	78	7	1	3	29	41	8
1	11	48	3	0	102	85	25	21	4	106	40	375	133	79	8	1	5	44	40	4
0	5	39	4	1	100	88	17	14	1	106	30	384	144	72	2	1	7	34	37	6
0	9	58	2	0	95	96	21	29	0	81	27	371	139	71	7	0	3	43	30	4
0	6	36	4	1	95	81	20	20	1	94	22	372	130	86	8	1	6	24	28	1
0	11	54	2	1	81	88	17	14	2	86	28	376	132	67	5	0	5	51	26	4
0	8	42	3	1	101	98	18	22	0	97	37	353	156	79	8	1	3	32	45	6
0	6	46	4	3	105	101	12	13	1	84	37	383	126	73	9	1	5	36	31	1
0	5	45	7	0	93	90	10	22	2	98	34	374	128	84	5	0	7	36	28	1
1	9	46	4	1	81	90	16	24	1	84	27	357	146	81	7	0	2	43	31	2
3	12	53	7	1	112	79	17	19	2	88	28	382	145	70	3	0	4	44	31	2
0	8	54	5	0	106	82	27	17	3	104	35	362	147	76	9	1	5	44	33	4
1	15	37	2	1	89	86	14	14	2	82	28	367	139	74	4	1	3	38	31	4
0	9	49	1	0	99	81	12	21	0	104	37	370	142	67	7	1	7	32	29	2
1	8	39	6	0	94	100	13	14	3	108	31	371	147	74	8	0	8	35	27	0
1	13	44	4	1	112	81	22	27	1	110	30	374	138	78	8	0	6	37	32	5
2	12	40	3	1	97	85	18	24	0	94	34	366	136	82	2	0	3	42	36	7
1	12	40	2	0	95	83	20	19	1	96	32	356	152	80	4	1	4	30	42	7
0	7	36	4	1	97	95	22	15	2	88	26	369	134	73	9	2	3	42	32	2
1	15	47	1	0	106	90	22	24	1	83	34	372	148	62	6	0	4	43	30	4
1	5	46	2	0	90	90	18	13	1	84	33	396	126	64	10	2	4	35	36	2
1	11	57	5	0	111	80	17	21	3	86	40	384	133	66	6	0	4	43	46	4
1	5	44	5	1	86	89	17	17	1	91	32	375	126	81	4	0	4	29	31	2
0	8	43	3	1	95	81	19	15	1	97	25	389	138	70	6	3	5	34	26	3
3	12	37	7	0	94	86	16	20	2	100	35	379	140	72	4	0	6	38	44	5
0	10	57	2	0	89	81	14	16	0	104	28	378	138	79	7	0	5	41	39	3
1	9	48	2	0	93	83	18	21	2	115	27	365	130	80	8	0	4	35	29	7
1	6	46	6	1	90	81	18	21	1	94	19	378	137	74	6	1	4	44	26	2
